player1,ast_without,ast_with_trae,pts_without,pts_with_trae,reb_without,reb_with_trae
B. Bogdanovic,5.328571428571429,12.1,25.533333333333335,56.4,9.985714285714286,21.7
C. Capela,6.11578947368421,13.3,29.115789473684213,61.1,11.0,23.9
D. Gallinari,4.821428571428571,5.8,22.728571428571428,31.4,8.664285714285715,9.8
D. Hunter,4.342857142857143,14.0,19.842857142857145,64.3,7.6499999999999995,23.9
J. Collins,5.288888888888889,15.1,24.62777777777778,66.8,10.316666666666666,25.8
K. Huerter,5.36875,12.6,23.83125,57.3,9.33125,20.8
O. Okongwu,4.2,5.5,19.95294117647059,26.9,8.476470588235294,9.9
