group_name,pts,ast,reb,player1,player2
T. Young - S. Cooper,0.0,0.0,0.0,T. Young,S. Cooper
J. Collins - T. Young,66.8,15.1,25.8,T. Young,J. Collins
T. Young - D. Hunter,64.3,14.0,23.9,D. Hunter,T. Young
C. Capela - T. Young,61.1,13.3,23.9,T. Young,C. Capela
W. Iwundu - T. Young,65.0,11.5,23.5,T. Young,W. Iwundu
B. Bogdanovic - T. Young,56.4,12.1,21.7,T. Young,B. Bogdanovic
J. Collins - D. Hunter,54.8,13.0,21.1,D. Hunter,J. Collins
K. Huerter - T. Young,57.3,12.6,20.8,T. Young,K. Huerter
C. Capela - D. Hunter,52.2,11.6,20.2,D. Hunter,C. Capela
C. Capela - J. Collins,50.5,11.8,20.7,J. Collins,C. Capela
J. Collins - K. Huerter,49.9,11.6,19.5,K. Huerter,J. Collins
B. Bogdanovic - J. Collins,47.4,10.7,19.0,J. Collins,B. Bogdanovic
B. Bogdanovic - D. Hunter,43.3,9.5,16.7,D. Hunter,B. Bogdanovic
C. Capela - K. Huerter,47.0,10.5,18.0,K. Huerter,C. Capela
C. Capela - B. Bogdanovic,40.2,9.0,16.3,B. Bogdanovic,C. Capela
B. Bogdanovic - O. Okongwu,40.1,8.3,15.4,O. Okongwu,B. Bogdanovic
K. Huerter - D. Hunter,39.8,9.3,14.4,D. Hunter,K. Huerter
T. Luwawu-Cabarrot - K. Huerter,36.4,7.9,14.3,K. Huerter,T. Luwawu-Cabarrot
T. Luwawu-Cabarrot - J. Collins,31.4,6.9,13.8,J. Collins,T. Luwawu-Cabarrot
W. Iwundu - O. Okongwu,24.0,2.0,11.0,O. Okongwu,W. Iwundu
B. Bogdanovic - K. Huerter,32.8,7.4,12.2,K. Huerter,B. Bogdanovic
D. Wright - O. Okongwu,31.8,6.8,12.6,O. Okongwu,D. Wright
T. Luwawu-Cabarrot - T. Young,31.5,6.9,13.2,T. Young,T. Luwawu-Cabarrot
D. Gallinari - O. Okongwu,32.9,7.0,11.7,O. Okongwu,D. Gallinari
D. Gallinari - K. Huerter,32.8,6.8,11.7,K. Huerter,D. Gallinari
C. Reddish - O. Okongwu,28.0,6.0,12.0,O. Okongwu,C. Reddish
L. Williams - D. Gallinari,27.9,5.9,11.2,D. Gallinari,L. Williams
L. Williams - O. Okongwu,28.6,6.3,11.6,O. Okongwu,L. Williams
D. Gallinari - T. Young,31.4,5.8,9.8,T. Young,D. Gallinari
K. Huerter - O. Okongwu,27.7,6.5,11.1,O. Okongwu,K. Huerter
C. Oliver - T. Young,32.5,7.5,9.0,T. Young,C. Oliver
L. Williams - B. Bogdanovic,29.2,6.3,10.8,B. Bogdanovic,L. Williams
J. Collins - O. Okongwu,23.7,5.4,11.3,O. Okongwu,J. Collins
T. Young - O. Okongwu,26.9,5.5,9.9,O. Okongwu,T. Young
D. Gallinari - B. Bogdanovic,27.6,5.8,9.4,B. Bogdanovic,D. Gallinari
D. Hunter - O. Okongwu,22.9,4.9,8.9,O. Okongwu,D. Hunter
D. Gallinari - J. Collins,22.5,4.7,7.3,J. Collins,D. Gallinari
D. Gallinari - C. Capela,21.2,4.1,8.1,C. Capela,D. Gallinari
S. Hill - K. Huerter,20.1,4.0,8.8,K. Huerter,S. Hill
D. Wright - K. Huerter,19.7,4.6,8.0,K. Huerter,D. Wright
D. Wright - J. Collins,16.9,3.8,7.2,J. Collins,D. Wright
K. Knox II - O. Okongwu,14.7,4.0,10.0,O. Okongwu,K. Knox II
L. Stephenson - J. Collins,20.0,3.3,7.3,J. Collins,L. Stephenson
S. Hill - J. Collins,19.3,4.0,6.8,J. Collins,S. Hill
D. Gallinari - D. Hunter,19.4,3.7,5.8,D. Hunter,D. Gallinari
L. Williams - C. Capela,16.7,3.5,7.3,C. Capela,L. Williams
S. Hill - C. Capela,16.1,3.1,7.0,C. Capela,S. Hill
S. Hill - T. Young,18.3,3.7,6.8,T. Young,S. Hill
D. Wright - T. Young,17.2,3.1,5.6,T. Young,D. Wright
C. Reddish - D. Hunter,14.4,3.1,6.3,D. Hunter,C. Reddish
L. Stephenson - B. Bogdanovic,13.8,2.5,5.8,B. Bogdanovic,L. Stephenson
T. Luwawu-Cabarrot - O. Okongwu,13.7,3.0,6.6,O. Okongwu,T. Luwawu-Cabarrot
G. Dieng - J. Collins,11.1,3.0,5.3,J. Collins,G. Dieng
