group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
L. Williams - S. Hill - C. Capela,ATL,4,2,2,0.5,2.4,0.5,3.3,0.154,0.3,1.0,0.25,1.8,1.8,1.0,0.8,2.0,2.8,0.3,0.8,0.5,0.0,0.3,0.5,1.0,3.0,-1.5,213,197,358,240,484,586,518,592,524,503,475,322,366,1,336,409,435,557,225,330,361,300,118,399,537,441
S. Hill - C. Capela - D. Wright,ATL,3,1,2,0.333,2.4,0.3,4.0,0.083,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.7,0.7,0.0,0.3,0.7,0.7,1.7,-1.7,249,257,358,405,487,596,474,597,530,503,530,402,428,1,239,409,370,563,204,283,361,328,152,489,597,450
B. Bogdanovic - J. Collins - S. Cooper,ATL,1,0,1,0.0,2.3,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,408,490,144,490,491,522,521,502,289,503,1,134,49,461,239,518,471,563,1,450,361,1,178,146,436,53
B. Bogdanovic - S. Cooper - J. Johnson,ATL,1,0,1,0.0,2.3,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,408,490,144,490,491,522,521,502,289,503,1,134,49,461,239,518,471,563,1,450,361,1,178,146,436,53
C. Capela - J. Collins - S. Mays,ATL,1,0,1,0.0,2.3,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-2.0,408,490,144,490,497,598,418,598,530,503,530,497,502,497,451,296,370,563,1,450,82,500,178,541,608,465
C. Capela - T. Luwawu-Cabarrot - S. Mays,ATL,1,0,1,0.0,2.3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,408,490,144,490,497,598,521,598,530,308,530,497,502,497,451,614,618,563,1,450,361,1,1,541,608,648
C. Reddish - S. Mays - J. Johnson,ATL,3,2,1,0.667,2.3,2.3,5.0,0.467,1.0,2.7,0.375,0.0,0.0,0.0,0.7,3.0,3.7,1.7,0.3,0.3,0.0,0.3,1.0,0.3,5.7,1.0,249,197,144,160,500,406,418,277,289,359,295,497,502,497,351,296,328,387,147,403,361,328,178,528,463,199
G. Dieng - O. Okongwu - S. Mays,ATL,1,0,1,0.0,2.3,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-3.0,408,490,144,490,491,522,374,590,289,87,515,497,502,497,239,518,471,457,1,450,361,1,1,399,537,541
J. Collins - S. Cooper - J. Johnson,ATL,1,0,1,0.0,2.3,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,408,490,144,490,491,522,521,502,289,503,1,134,49,461,239,518,471,563,1,450,361,1,178,146,436,53
L. Stephenson - B. Bogdanovic - S. Cooper,ATL,1,0,1,0.0,2.3,1.0,3.0,0.333,1.0,1.0,1.0,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,408,490,144,490,491,522,521,502,289,503,1,134,49,461,239,518,471,563,1,450,361,1,178,146,436,53
