group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
D. Gallinari - D. Wright - J. Collins - T. Young - D. Hunter,ATL,4,4,0,1.0,1.7,1.3,2.3,0.556,0.5,1.0,0.5,0.5,1.0,0.5,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.0,0.5,1.5,3.5,-1.3,39,17,1,1,206,190,230,92,164,172,54,174,142,172,142,254,202,232,149,125,91,1,130,90,204,226
D. Gallinari - D. Wright - T. Young - O. Okongwu - S. Mays,ATL,1,0,1,0.0,1.7,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,123,204,119,204,207,118,175,42,29,103,1,194,198,194,148,178,202,66,1,36,109,293,1,231,130,45
L. Stephenson - C. Oliver - T. Young - C. Brown Jr. - M. Hill,ATL,1,0,1,0.0,1.7,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,123,204,119,204,203,118,175,42,61,103,54,194,198,194,148,178,202,66,1,137,109,1,1,231,152,99
L. Stephenson - G. Dieng - B. Bogdanovic - C. Barber - S. Mays,ATL,1,0,1,0.0,1.7,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-4.0,123,204,119,204,204,195,175,212,61,172,1,194,198,194,148,272,288,130,1,137,109,1,157,231,211,305
L. Williams - D. Gallinari - B. Bogdanovic - J. Collins - C. Reddish,ATL,1,0,1,0.0,1.7,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-3.0,123,204,119,204,204,195,231,106,190,266,190,194,198,194,148,178,202,235,204,137,109,1,157,115,238,276
L. Williams - G. Dieng - D. Wright - T. Luwawu-Cabarrot - C. Reddish,ATL,1,0,1,0.0,1.7,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,-1.0,123,204,119,204,201,195,231,106,190,172,190,56,69,1,148,178,202,235,204,137,109,1,157,115,181,192
B. Bogdanovic - D. Wright - J. Collins - W. Iwundu - O. Okongwu,ATL,1,1,0,1.0,1.6,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,123,61,1,1,210,277,231,277,190,266,190,131,69,172,148,178,202,235,1,137,109,1,1,115,283,192
C. Capela - D. Wright - J. Collins - T. Young - D. Hunter,ATL,4,3,1,0.75,1.6,0.5,2.5,0.2,0.0,1.8,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.5,0.3,0.3,0.0,0.0,0.5,0.3,1.0,-1.5,39,25,119,125,210,262,221,262,190,152,190,194,198,194,142,178,200,212,149,125,109,1,130,229,283,230
D. Gallinari - B. Bogdanovic - D. Wright - J. Collins - K. Huerter,ATL,4,2,2,0.5,1.6,1.8,2.5,0.7,0.5,0.8,0.667,0.5,0.5,1.0,0.0,0.5,0.5,1.8,0.5,0.5,0.0,0.3,0.8,0.5,4.5,0.5,39,35,275,142,215,173,221,40,164,248,36,174,190,1,148,261,279,105,164,96,109,250,151,208,178,130
D. Gallinari - B. Bogdanovic - J. Collins - T. Young - D. Hunter,ATL,9,4,5,0.444,1.6,1.6,2.7,0.583,0.4,0.9,0.5,1.3,1.6,0.857,0.3,0.6,0.9,1.0,0.2,0.3,0.1,0.2,0.9,1.2,4.9,1.2,9,17,334,173,212,175,216,77,176,245,54,114,123,115,134,260,272,130,148,117,107,246,155,109,176,98
